player_name,num_of_matches,win_rate,aces_per_svpt,df_rate,first_serve_in_pct,first_serve_won_pct,second_serve_in_pct,second_serve_won_pct,bp_faced_per_match,bp_saved_pct
Brandon Nakashima,127,0.5590551181102362,0.10808379605801087,0.020046210339228827,0.6425581008759235,0.7525873125951086,0.3574418991240765,0.5455238795369657,4.724409448818897,0.5957562443712029
Cameron Norrie,223,0.5605381165919282,0.06505933508713076,0.037035426198069495,0.6556650111206416,0.7120396245176883,0.34433498887935843,0.5107189139383874,6.56221198156682,0.611240360233052
Carlos Alcaraz,139,0.7482014388489209,0.062074069586765396,0.02704361948804745,0.6494445638632412,0.7381945481020682,0.3505554361367587,0.5722855290591086,5.262773722627737,0.6255241076211315
Casper Ruud,177,0.5706214689265536,0.08101046637237214,0.026246999165663077,0.6532001514165737,0.7402249425268591,0.3467998485834263,0.5375887761003784,5.364705882352941,0.5809164304907339
Christopher Eubanks,62,0.3709677419354839,0.12578804476202488,0.035745981275145736,0.6792543075690876,0.7308737079936372,0.3207456924309125,0.538040529073968,6.387096774193548,0.6284865134865135
Christopher Oconnell,80,0.425,0.10091860347237011,0.022773767481109902,0.6114871839077413,0.7407379950677218,0.38851281609225874,0.5016051821551685,7.225,0.6359078764372882
Constant Lestienne,45,0.35555555555555557,0.06031252627529927,0.03700448440112395,0.6071528347278465,0.667369842628592,0.3928471652721534,0.4557264846502092,8.431818181818182,0.5513319367970531
Corentin Moutet,75,0.4266666666666667,0.027921253268138345,0.03464065554989435,0.6672538738711815,0.6540040955353509,0.33274612612881843,0.4887468211774549,8.191780821917808,0.5506691356812227
Cristian Garin,81,0.3950617283950617,0.05836650119757045,0.039628675593456154,0.6166838063441082,0.6997694637968602,0.38331619365589176,0.49302259439738744,7.407407407407407,0.5586627764053279
Damir Dzumhur,87,0.3448275862068966,0.02982453249604141,0.03957991105962046,0.625526373182236,0.6430886243295643,0.37447362681776397,0.47768061447597565,7.902439024390244,0.5133817725908656
Daniel Altmaier,53,0.2830188679245283,0.0936036382285033,0.03046762520568953,0.626488243187736,0.6948701589119738,0.373511756812264,0.48145141628962795,7.411764705882353,0.5762626262626263
Daniel Elahi Galan,52,0.38461538461538464,0.059183310449051334,0.018053711337506193,0.6367869595050252,0.6702854596304211,0.3632130404949749,0.46867831346598837,7.958333333333333,0.5136791095614625
Daniel Evans,185,0.518918918918919,0.058260691232091086,0.033400976348094344,0.6045801520634462,0.7255796771062132,0.39541984793655377,0.5209932770871749,6.758241758241758,0.5788435912208607
Daniil Medvedev,358,0.7681564245810056,0.11688879181066975,0.04872979920910647,0.6215772300642188,0.7738607295445236,0.37842276993578106,0.5311047605283679,5.065527065527066,0.6298284068872304
David Goffin,172,0.5290697674418605,0.07543847302176737,0.03902389993357669,0.5957822992301952,0.7081762722585005,0.40421770076980484,0.4896754063433712,7.006134969325154,0.5495783857519728
Denis Kudla,74,0.35135135135135137,0.07671397944757186,0.04083757180386061,0.5854265033987338,0.6941618700269281,0.4145734966012662,0.47892950529079986,6.986301369863014,0.504813260613973
Denis Shapovalov,244,0.5737704918032787,0.1142209124763117,0.07007584500543065,0.5991757156686783,0.783531089985596,0.4008242843313217,0.5109553717698291,5.7100840336134455,0.6126215939852855
Dennis Novak,43,0.3023255813953488,0.05708495881605233,0.026992936138109058,0.650751425206724,0.6667978533295108,0.349248574793276,0.5049347909434001,7.2105263157894735,0.5054744232375811
Diego Schwartzman,169,0.5029585798816568,0.026793788996562658,0.03826574364871724,0.6365802737623191,0.6737530758434209,0.3634197262376809,0.504235347697083,7.604938271604938,0.5628453082915394
Dominic Thiem,147,0.6258503401360545,0.08497905171413611,0.033712610392023765,0.6217662248784481,0.7439595991628801,0.3782337751215518,0.5359921801880377,6.0215827338129495,0.62268606476835
Dominik Koepfer,76,0.47368421052631576,0.05891529916343664,0.04083583793902817,0.6296703907969597,0.6869458113506638,0.37032960920304014,0.5128286039858875,7.657534246575342,0.5613852615638331
Dusan Lajovic,133,0.39849624060150374,0.04600720296158315,0.01863039948971134,0.6884012464028476,0.6702063483241905,0.3115987535971524,0.49501378973673105,7.33587786259542,0.5511215023897849
Egor Gerasimov,84,0.5,0.09755437923063506,0.04303454250644307,0.6496558103165616,0.7233171744663551,0.3503441896834384,0.4906806405546969,6.4125,0.5852519414207726
Elias Ymer,53,0.4528301886792453,0.07228569501918562,0.04639491549651704,0.5905347884746652,0.7075797497907119,0.4094652115253348,0.4908826820417247,7.127659574468085,0.48759842009842
Emil Ruusuvuori,150,0.5666666666666667,0.06357290984045395,0.03690675582070926,0.6467893167683196,0.714868203523278,0.3532106832316803,0.5196323116912208,6.104166666666667,0.5435826268129479
Evgeny Donskoy,46,0.32608695652173914,0.056320935583813556,0.03080529341229377,0.5997565646077052,0.6931735158419962,0.4002434353922948,0.47614953933885185,6.934782608695652,0.5931599881599882
Fabian Marozsan,47,0.5106382978723404,0.061966359607494095,0.03117480623585312,0.660099360642581,0.7074744219337384,0.339900639357419,0.48054425501944115,6.844444444444444,0.5416938909951332
Fabio Fognini,138,0.4855072463768116,0.05334813854632484,0.05658162845852856,0.5841306025897839,0.6909741786045167,0.415869397410216,0.4817218014907881,8.114503816793894,0.5577534725796591
Feliciano Lopez,76,0.3815789473684211,0.15268721667359664,0.052109513577177136,0.5693700156254883,0.771118329073006,0.4306299843745117,0.4795405658517651,6.933333333333334,0.6420977941811274
Felix Auger Aliassime,238,0.6008403361344538,0.12913673933710987,0.05578366640977406,0.6300439210506031,0.7678452233959445,0.36995607894939675,0.5004429719858743,5.285087719298246,0.6064277925622463
Fernando Verdasco,82,0.4634146341463415,0.09140869860085071,0.045663680627792747,0.6354224483575156,0.7182113672462599,0.36457755164248434,0.49036541138919765,6.987804878048781,0.5974982028113274
Filip Krajinovic,136,0.5073529411764706,0.06406991425702074,0.022899322946540842,0.6381803344202096,0.69706861442502,0.36181966557979045,0.5119755984889445,6.919117647058823,0.6003200781317595
Flavio Cobolli,44,0.5454545454545454,0.06636359300110511,0.04165369610703539,0.556555476696033,0.7095932317844846,0.44344452330396694,0.47717335034407515,8.272727272727273,0.6222016271561267
Frances Tiafoe,255,0.5647058823529412,0.09353099595124749,0.02939735022335351,0.6114232632281459,0.737861736361134,0.3885767367718541,0.5241293153231198,6.429718875502008,0.6264694100124087
Francisco Cerundolo,75,0.4666666666666667,0.04621861342364185,0.04364193437782515,0.6229534229938618,0.6962163210177158,0.3770465770061382,0.492598727559009,7.267605633802817,0.5849517347731633
Gael Monfils,187,0.6470588235294118,0.10690170519395939,0.054473469287528914,0.6213457834598226,0.7405001102307452,0.3786542165401774,0.5070052525242192,5.709497206703911,0.6096160361418778
Gilles Simon,105,0.49523809523809526,0.05229802749230599,0.03285289277600994,0.5945318536554832,0.699118551990719,0.40546814634451667,0.49833054762751194,6.563106796116505,0.5519082737227378
Gregoire Barrere,58,0.3793103448275862,0.07000881559482369,0.025741055909181104,0.6267831298792166,0.7084667304338013,0.3732168701207835,0.5105004111047985,6.5,0.5637578078487169
Grigor Dimitrov,231,0.6233766233766234,0.09133657984056837,0.045926463042952004,0.6259129356516748,0.7649472244984834,0.3740870643483251,0.5137043408706655,5.964757709251101,0.6167121453831355
Guido Pella,66,0.42424242424242425,0.06953051484390134,0.028077417918899863,0.6499252262987135,0.6833172060614351,0.3500747737012864,0.5251867690812875,7.461538461538462,0.5868391437622207
Henri Laaksonen,40,0.35,0.07821303231209174,0.0384969901284922,0.5744888983021266,0.7184951560787953,0.4255111016978734,0.478769400047164,7.82051282051282,0.5529048952423565
Holger Rune,136,0.6323529411764706,0.0832960537441945,0.04275934920737081,0.6218376742721216,0.7388073194076596,0.3781623257278784,0.5502043733221699,5.1640625,0.6272982046688943
Hubert Hurkacz,241,0.6141078838174274,0.14410253424553368,0.026088830353703123,0.6379114047332449,0.7675899672389435,0.362088595266755,0.5267345740875696,5.324894514767933,0.6432036016422644
Hugo Gaston,50,0.34,0.03522855553387667,0.029656382930102775,0.5771340030333563,0.6451069928839901,0.4228659969666437,0.46739405881476875,9.94,0.5653465865200559
Hyeon Chung,57,0.5789473684210527,0.052157912118794295,0.034757985661762254,0.6273952064546379,0.7041203478001972,0.3726047935453621,0.5255435049186113,6.385964912280702,0.5615314942800322
Ilya Ivashka,107,0.5046728971962616,0.07559837704386167,0.03822612874440971,0.6188394173058783,0.7317004849532797,0.38116058269412156,0.5014781628473747,7.05,0.6126720299870205
Ivo Karlovic,40,0.375,0.22999802544431897,0.04937289945839967,0.6510654473413174,0.820943376008351,0.34893455265868256,0.5399233330109323,4.025,0.6884353741496598
J J Wolf,76,0.4605263157894737,0.09496402356611344,0.04493950748195146,0.5732036588019488,0.7191434189332719,0.4267963411980512,0.48799556499864005,7.0394736842105265,0.5737152893402894
Jack Draper,88,0.625,0.11955789581687372,0.040475565745018725,0.592057102730585,0.7821583701512346,0.4079428972694149,0.5202349535623138,5.465909090909091,0.6555682599156927
Jack Sock,57,0.3508771929824561,0.08116706015489579,0.049169146296238156,0.6138465005633921,0.7189474897461203,0.3861534994366078,0.49058717310074457,7.166666666666667,0.6076103917450071
James Duckworth,87,0.40229885057471265,0.09181524955259668,0.027937957838538106,0.569888844107205,0.7277630219959724,0.430111155892795,0.5315437444235576,6.658823529411765,0.6009796320917644
Jan Lennard Struff,178,0.4606741573033708,0.1278151650520842,0.04338465704671071,0.5755841384753092,0.7648176848084494,0.4244158615246908,0.4856754272823388,6.0,0.6082503102957648
Jannik Sinner,245,0.7877551020408163,0.08476932194420833,0.02572506031389133,0.6032773103638857,0.7668428675488841,0.39672268963611423,0.5593449829790452,5.316239316239316,0.6705347072157778
Jaume Munar,73,0.2876712328767123,0.061724810058454434,0.03876587162088391,0.6357364345800505,0.69276909249639,0.36426356541994953,0.4712836368708768,8.191780821917808,0.5605586360347393
Jenson Brooksby,60,0.6166666666666667,0.03888270919981264,0.019380435347873943,0.6413072958246656,0.6840385762313106,0.3586927041753344,0.5258005080176257,6.762711864406779,0.6048614521566202
Jeremy Chardy,90,0.5222222222222223,0.11067529092030168,0.05496720827297693,0.6179017317497719,0.7434281598001429,0.3820982682502281,0.49176700539413537,6.6117647058823525,0.5931347035922199
Jiri Lehecka,103,0.5533980582524272,0.08858425564251675,0.0322216134283537,0.6355867244679773,0.724807240731937,0.3644132755320228,0.5103918080031733,6.63,0.6247576063982314
Jiri Vesely,61,0.4262295081967213,0.13568457723954974,0.05530656147697872,0.6461798280225838,0.7558869518479019,0.3538201719774162,0.49718124265692293,6.203389830508475,0.649919330182488
Jo-Wilfried Tsonga,57,0.543859649122807,0.14078830313001864,0.031450993501227445,0.59932780024836,0.7920917616628284,0.40067219975164,0.5319408541440209,4.982456140350878,0.6841330577179634
Joao Sousa,95,0.43157894736842106,0.05672574104462826,0.027961899813290014,0.6085146922035387,0.7047692677341878,0.3914853077964613,0.49523709386335835,6.606741573033708,0.49191418978437235
John Isner,168,0.5416666666666666,0.2483381874688585,0.02514889269872428,0.695465149459541,0.8000986385678749,0.304534850540459,0.5651346885916176,3.3975155279503104,0.685331784228843
John Millman,132,0.49242424242424243,0.052971647942988025,0.020951715225045412,0.6163024803587616,0.6869758344789288,0.38369751964123844,0.5271252233020041,7.415384615384616,0.5652766771801577
